Año,Mes, Siniestro ocurrido 
2018,12," 59,691.20 "
2018,11," 93,044.46 "
2019,5," 162,238.91 "
2018,5," 260,110.40 "
2018,8," 374,718.93 "
2017,2," 463,445.03 "
2018,7," 540,371.06 "
2019,2," 315,651.20 "
2019,1," 913,914.72 "
2019,7," 248,081.88 "
2019,6," 193,267.23 "
2019,10," 1,771,376.22 "
2018,10," 1,903,604.31 "
2020,1," 125,220.54 "
2018,12," 163,331.71 "
2019,7," 238,738.05 "
2019,11," 408,719.92 "
2019,4," 543,384.67 "
2016,8," 1,818,822.48 "
2020,9," 235,447.81 "
2016,7," 1,281,318.30 "
2018,9," 3,404,774.79 "
2018,9," 203,849.23 "
2019,5," 285,149.61 "
2017,8," 739,178.82 "
2019,12," 91,025.35 "
2018,8," 157,110.92 "
2019,5," 1,269,451.88 "
2020,3," 650,817.66 "
2018,6," 929,202.38 "
2018,10," 886,526.38 "
2018,10," 937,473.11 "
